Date,Price,Open,High,Low,Vol.,Change %
01/08/2013,0.9864,0.986,0.9884,0.9841,,0.09%
01/07/2013,0.9855,0.9868,0.9889,0.9851,,-0.15%
01/04/2013,0.987,0.9879,0.9925,0.9847,,-0.07%
01/03/2013,0.9877,0.985,0.9886,0.984,,0.29%
01/02/2013,0.9848,0.9933,0.9946,0.9835,,-0.81%
01/01/2013,0.9928,0.9922,0.994,0.9918,,0.07%
12/31/2012,0.9921,0.9967,0.9978,0.9915,,-0.48%
12/28/2012,0.9969,0.9952,0.9972,0.9937,,0.19%
12/27/2012,0.995,0.9943,0.996,0.9906,,0.09%
12/26/2012,0.9941,0.9924,0.9953,0.9904,,0.20%
12/25/2012,0.9921,0.993,0.9944,0.9908,,-0.07%
12/24/2012,0.9928,0.9932,0.9947,0.9905,,-0.02%
12/21/2012,0.993,0.9877,0.9955,0.9871,,0.59%
12/20/2012,0.9872,0.9888,0.9898,0.9867,,-0.15%
12/19/2012,0.9887,0.9857,0.989,0.9848,,0.31%
12/18/2012,0.9856,0.9835,0.9861,0.9829,,0.23%
12/17/2012,0.9833,0.9868,0.9883,0.9831,,-0.21%
12/14/2012,0.9854,0.985,0.9868,0.983,,0.06%
12/13/2012,0.9848,0.9845,0.9858,0.9823,,0.07%
12/12/2012,0.9841,0.9862,0.9867,0.9824,,-0.20%
12/11/2012,0.9861,0.9863,0.9881,0.9855,,-0.04%
12/10/2012,0.9865,0.9883,0.989,0.9862,,-0.17%
12/07/2012,0.9882,0.9915,0.9935,0.9874,,-0.29%
12/06/2012,0.9911,0.9917,0.9928,0.9891,,-0.03%
12/05/2012,0.9914,0.9928,0.9943,0.9906,,-0.12%
12/04/2012,0.9926,0.9952,0.9956,0.9914,,-0.24%
12/03/2012,0.995,0.994,0.9955,0.9913,,0.08%
11/30/2012,0.9942,0.9926,0.9953,0.9921,,0.18%
11/29/2012,0.9924,0.992,0.994,0.9911,,0.06%
11/28/2012,0.9918,0.9947,0.9963,0.9917,,-0.27%
11/27/2012,0.9945,0.9935,0.995,0.9904,,0.12%
11/26/2012,0.9933,0.9934,0.9962,0.9916,,0.06%
11/23/2012,0.9927,0.9972,0.9984,0.9915,,-0.41%
11/22/2012,0.9968,0.9964,0.9984,0.995,,0.08%
11/21/2012,0.996,0.9968,0.9993,0.9956,,-0.05%
11/20/2012,0.9965,0.9964,0.9993,0.9954,,0.05%
11/19/2012,0.996,1.0017,1.0019,0.9953,,-0.51%
11/16/2012,1.0011,1.001,1.0058,0.9994,,0.06%
11/15/2012,1.0005,1.004,1.0044,1.0002,,-0.34%
11/14/2012,1.0039,1.0021,1.0043,0.9996,,0.21%
11/13/2012,1.0018,0.9999,1.0037,0.999,,0.22%
11/12/2012,0.9996,1.0013,1.0014,0.9984,,-0.19%
11/09/2012,1.0015,1.0003,1.0035,0.9982,,0.14%
11/08/2012,1.0001,0.9966,1.0006,0.9946,,0.36%
11/07/2012,0.9965,0.9921,0.9985,0.9872,,0.47%
11/06/2012,0.9918,0.9965,0.997,0.9909,,-0.45%
11/05/2012,0.9963,0.9959,0.9979,0.9939,,0.07%
11/02/2012,0.9956,0.9965,0.9986,0.992,,-0.08%
11/01/2012,0.9964,0.9995,1.0016,0.9958,,-0.27%
10/31/2012,0.9991,0.9993,1.0016,0.9958,,-0.02%
10/30/2012,0.9993,1.0011,1.0021,0.9981,,-0.15%
10/29/2012,1.0008,0.9977,1.0014,0.9971,,0.44%
10/26/2012,0.9964,0.9949,0.9996,0.994,,0.16%
10/25/2012,0.9948,0.9936,0.9956,0.99,,0.14%
10/24/2012,0.9934,0.9924,0.996,0.9887,,0.13%
10/23/2012,0.9921,0.9922,0.9978,0.9898,,0.03%
10/22/2012,0.9918,0.9939,0.9967,0.9916,,-0.17%
10/19/2012,0.9935,0.9853,0.9941,0.9843,,0.84%
10/18/2012,0.9852,0.9779,0.9862,0.9762,,0.79%
10/17/2012,0.9775,0.9867,0.9874,0.9771,,-0.90%
10/16/2012,0.9864,0.9807,0.988,0.98,,0.60%
10/15/2012,0.9805,0.9788,0.9813,0.9767,,0.04%
10/12/2012,0.9801,0.9786,0.9811,0.9766,,0.18%
10/11/2012,0.9783,0.9818,0.9837,0.9761,,-0.32%
10/10/2012,0.9814,0.978,0.982,0.9766,,0.33%
10/09/2012,0.9782,0.9769,0.9809,0.9742,,0.16%
10/08/2012,0.9766,0.9786,0.9803,0.975,,-0.19%
10/05/2012,0.9785,0.9805,0.9814,0.9733,,-0.19%
10/04/2012,0.9804,0.9876,0.9881,0.9798,,-0.71%
10/03/2012,0.9874,0.9842,0.9887,0.9837,,0.37%
10/02/2012,0.9838,0.9823,0.9846,0.981,,0.17%
10/01/2012,0.9821,0.9837,0.9856,0.9796,,-0.14%
09/28/2012,0.9835,0.9806,0.9854,0.978,,0.32%
09/27/2012,0.9804,0.9856,0.9858,0.9789,,-0.49%
09/26/2012,0.9852,0.9807,0.9862,0.9799,,0.49%
09/25/2012,0.9804,0.9788,0.9813,0.9756,,0.18%
09/24/2012,0.9786,0.9763,0.982,0.976,,0.27%
09/21/2012,0.976,0.9769,0.9782,0.973,,-0.10%
09/20/2012,0.977,0.9745,0.9818,0.9743,,0.27%
09/19/2012,0.9744,0.9743,0.9766,0.9725,,0.03%
09/18/2012,0.9741,0.9748,0.9768,0.9731,,-0.05%
09/17/2012,0.9746,0.9707,0.9763,0.9693,,0.32%
09/14/2012,0.9715,0.9683,0.9725,0.9632,,0.34%
09/13/2012,0.9682,0.9762,0.9776,0.9664,,-0.80%
09/12/2012,0.976,0.9731,0.9771,0.9714,,0.34%
09/11/2012,0.9727,0.9777,0.978,0.9711,,-0.47%
09/10/2012,0.9773,0.9781,0.9792,0.9753,,-0.10%
09/07/2012,0.9783,0.9827,0.9837,0.9764,,-0.43%
09/06/2012,0.9825,0.9907,0.9917,0.9807,,-0.78%
09/05/2012,0.9902,0.9859,0.992,0.9854,,0.45%
09/04/2012,0.9858,0.9859,0.9877,0.9841,,0.02%
09/03/2012,0.9856,0.9871,0.9882,0.9851,,-0.06%
08/31/2012,0.9862,0.9925,0.9933,0.985,,-0.60%
08/30/2012,0.9922,0.9894,0.9934,0.9887,,0.30%
08/29/2012,0.9892,0.9883,0.9901,0.9864,,0.10%
08/28/2012,0.9882,0.9907,0.992,0.984,,-0.22%
08/27/2012,0.9904,0.9919,0.9928,0.9888,,-0.18%
08/24/2012,0.9922,0.9939,0.9949,0.9903,,-0.16%
08/23/2012,0.9938,0.9914,0.995,0.9883,,0.27%
08/22/2012,0.9911,0.9892,0.9949,0.9888,,0.20%
08/21/2012,0.9891,0.9884,0.9901,0.984,,0.08%
08/20/2012,0.9883,0.989,0.9904,0.9874,,-0.06%
08/17/2012,0.9889,0.9866,0.9903,0.9862,,0.25%
08/16/2012,0.9864,0.9894,0.9902,0.9858,,-0.29%
08/15/2012,0.9893,0.9924,0.9937,0.9885,,-0.30%
08/14/2012,0.9923,0.9927,0.9943,0.9906,,0.01%
08/13/2012,0.9922,0.9913,0.9942,0.9904,,0.14%
08/10/2012,0.9908,0.9908,0.9971,0.9904,,0.01%
08/09/2012,0.9907,0.994,0.9953,0.9908,,-0.33%
08/08/2012,0.994,0.9967,0.9991,0.9934,,-0.28%
08/07/2012,0.9968,1.0003,1.0014,0.996,,-0.34%
08/06/2012,1.0002,1.002,1.0025,0.9981,,-0.08%
08/03/2012,1.001,1.0075,1.0081,0.9978,,-0.62%
08/02/2012,1.0072,1.0057,1.0087,1.0001,,0.19%
08/01/2012,1.0053,1.0033,1.006,1.0003,,0.25%
07/31/2012,1.0028,1.0017,1.0044,1.0002,,0.12%
07/30/2012,1.0016,1.004,1.0056,1.0012,,-0.16%
07/27/2012,1.0032,1.0101,1.0107,1.003,,-0.67%
07/26/2012,1.01,1.0156,1.0168,1.0062,,-0.53%
07/25/2012,1.0154,1.022,1.0234,1.0138,,-0.66%
07/24/2012,1.0221,1.0188,1.0229,1.0157,,0.33%
07/23/2012,1.0187,1.0138,1.0206,1.0131,,0.63%
07/20/2012,1.0123,1.0074,1.0133,1.0069,,0.52%
07/19/2012,1.0071,1.0103,1.0109,1.0064,,-0.30%
07/18/2012,1.0101,1.012,1.0151,1.0099,,-0.15%
07/17/2012,1.0116,1.0151,1.0171,1.0118,,-0.30%
