Contract_ID,Contract_Date,Close_Date,Start_Spot,End_Spot,Contract_Forward,Contract_Forward_TC,Exposure,Hedged_Exposure,Fee,Partial_Hedged,Partial_Hedged_TC,Full_Hedged,Full_Hedged_TC,Unhedged,Spot_Change,Cum_Partial_Hedged,Cum_Partial_Hedged_TC,Cum_Full_Hedged,Cum_Full_Hedged_TC,Cum_Unhedged,Year
58,2012-10-01,2012-11-01,0.9821,0.9964,0.981355836164402,0.981255836164402,800000.0,400000.0,80.0,5422.334465760814,5302.334465760819,-595.3310684783553,-835.3310684783464,11439.999999999984,0.01429999999999998,-10660.320268179492,-17620.32026817925,-24840.640536358987,-38760.64053635848,3519.9999999999964,2012
59,2012-11-01,2012-12-03,0.9964,0.995,0.9956864603803752,0.9955864603803752,800000.0,400000.0,80.0,-845.415847849873,-965.4158478498686,-570.8316956997805,-810.8316956997717,-1119.9999999999654,-0.0013999999999999568,-11505.736116029366,-18585.73611602912,-25411.472232058768,-39571.47223205825,2400.000000000031,2012
60,2012-12-03,2013-01-01,0.995,0.9928,0.994337180351894,0.994237180351894,800000.0,400000.0,80.0,-1145.1278592423896,-1265.1278592423853,-530.2557184847956,-770.2557184847867,-1759.9999999999839,-0.0021999999999999797,-12650.863975271755,-19850.863975271503,-25941.727950543565,-40341.72795054304,640.0000000000471,2012
61,2013-01-01,2013-02-01,0.9928,0.9963,0.9920724922974437,0.9919724922974437,800000.0,400000.0,80.0,1108.996918977434,988.9969189774383,-582.00616204509,-822.0061620450813,2799.999999999958,0.0034999999999999476,-11541.86705629432,-18861.867056294064,-26523.734112588656,-41163.73411258812,3440.0000000000055,2013
62,2013-02-01,2013-03-01,0.9963,1.0267,0.9955533474336344,0.9954533474336345,800000.0,400000.0,80.0,11861.338973453783,11741.338973453787,-597.3220530924195,-837.3220530924107,24319.999999999985,0.030399999999999983,319.47191715946246,-7120.528082840277,-27121.056165681075,-42001.05616568053,27759.999999999993,2013
63,2013-03-01,2013-04-01,1.0267,1.0167,1.0259818545935997,1.0258818545935997,800000.0,400000.0,80.0,-4287.258162560103,-4407.2581625601,-574.5163251202001,-814.5163251201914,-8000.000000000007,-0.010000000000000009,-3967.786245400641,-11527.786245400377,-27695.572490801274,-42815.57249080072,19759.999999999985,2013
64,2013-04-01,2013-05-01,1.0167,1.0083,1.0159465439860111,1.0158465439860112,800000.0,400000.0,80.0,-3661.3824055955038,-3781.382405595499,-602.7648111910366,-842.7648111910278,-6719.999999999971,-0.008399999999999963,-7629.168650996145,-15309.168650995876,-28298.33730199231,-43658.33730199175,13040.000000000015,2013
65,2013-05-01,2013-06-03,1.0083,1.0276,1.0075108029342947,1.0074108029342947,800000.0,400000.0,80.0,7404.321173717943,7284.321173717947,-631.3576525641906,-871.3576525641818,15440.000000000076,0.019300000000000095,-224.84747727820195,-8024.847477277929,-28929.6949545565,-44529.69495455593,28480.00000000009,2013
66,2013-06-03,2013-07-01,1.0276,1.0495,1.026778597656933,1.026678597656933,800000.0,400000.0,80.0,8431.439062773194,8311.4390627732,-657.1218744536367,-897.1218744536279,17520.000000000025,0.02190000000000003,8206.591585494993,286.59158549527,-29586.81682901014,-45426.816829009564,46000.00000000012,2013
67,2013-07-01,2013-08-01,1.0495,1.0345,1.0486261521552696,1.0485261521552696,800000.0,400000.0,80.0,-6349.539137892269,-6469.539137892264,-699.0782757844372,-939.0782757844283,-12000.0000000001,-0.015000000000000124,1857.052447602724,-6182.947552396994,-30285.895104794574,-46365.89510479399,34000.000000000015,2013
