Contract_ID,Contract_Date,Next_3M_Date,Start_Spot,End_Spot,Contract_Forward,Exposure,Partial_Hedged,Unhedged,Spot_Change
57,2012-09-03,2012-12-03,0.9856,0.995,0.983289788793856,800000.0,-1848.1689649152422,7519.999999999971,0.009399999999999964
58,2012-10-01,2013-01-01,0.9821,0.9928,0.979895730566847,800000.0,-1763.4155465223955,8560.000000000035,0.010700000000000043
59,2012-11-01,2013-02-01,0.9964,0.9963,0.9941636350033666,800000.0,-1789.091997306702,-79.99999999999119,-9.999999999998899e-05
60,2012-12-03,2013-03-01,0.995,1.0267,0.9928906347424868,800000.0,-1687.4922060105214,25359.99999999996,0.03169999999999995
61,2013-01-01,2013-04-01,0.9928,1.0167,0.9906456150853038,800000.0,-1723.5079317569734,19119.999999999938,0.02389999999999992
62,2013-02-01,2013-05-01,0.9963,1.0083,0.9941380739780014,800000.0,-1729.5408175988846,9600.00000000001,0.01200000000000001
63,2013-03-01,2013-06-03,1.0267,1.0276,1.02452348613328,800000.0,-1741.2110933760162,720.0000000000983,0.0009000000000001229
64,2013-04-01,2013-07-01,1.0167,1.0495,1.0144433149612189,800000.0,-1805.348031024856,26240.00000000013,0.03280000000000016
65,2013-05-01,2013-08-01,1.0083,1.0345,1.005961490311479,800000.0,-1870.8077508167164,20960.0,0.0262
66,2013-06-03,2013-09-02,1.0276,1.0543,1.025139971571781,800000.0,-1968.022742575215,21359.999999999956,0.026699999999999946
67,2013-07-01,2013-10-01,1.0495,1.0322,1.0469091589157915,800000.0,-2072.672867366876,-13840.000000000075,-0.017300000000000093
68,2013-08-01,2013-11-01,1.0345,1.0419,1.032023391521197,800000.0,-1981.2867830424352,5920.000000000058,0.007400000000000073
69,2013-09-02,2013-12-02,1.0543,1.0641,1.0517759270804758,800000.0,-2019.2583356193338,7840.000000000025,0.009800000000000031
70,2013-10-01,2014-01-01,1.0322,1.0641,1.029728774502469,800000.0,-1976.9803980247857,25520.000000000033,0.03190000000000004
71,2013-11-01,2014-02-03,1.0419,1.1116,1.0396649438762784,800000.0,-1788.0448989773256,55759.9999999999,0.06969999999999987
72,2013-12-02,2014-03-03,1.0641,1.1076,1.061737928368334,800000.0,-1889.6573053329034,34799.9999999999,0.04349999999999987
73,2014-01-01,2014-04-01,1.0641,1.1021,1.0618704621984985,800000.0,-1783.6302412012728,30400.000000000025,0.038000000000000034
74,2014-02-03,2014-05-01,1.1116,1.0954,1.109270822420115,800000.0,-1863.342063907858,-12959.999999999995,-0.016199999999999992
75,2014-03-03,2014-06-02,1.1076,1.0899,1.1053894973181988,800000.0,-1768.4021454408949,-14159.999999999862,-0.017699999999999827
76,2014-04-01,2014-07-01,1.1021,1.0631,1.0997632367981245,800000.0,-1869.410561500473,-31200.000000000116,-0.039000000000000146
77,2014-05-01,2014-08-01,1.0954,1.0914,1.092886549445068,800000.0,-2010.760443945614,-3200.0000000000027,-0.0040000000000000036
